T (K);H (kJ/kmol)
112,75;-88904,06032
112,8;-88901,3389
112,85;-88898,65934
112,9;-88895,93792
112,95;-88893,2165
113;-88890,49508
113,05;-88887,81553
113,1;-88885,09411
113,15;-88882,37269
113,2;-88879,65127
113,25;-88876,97172
113,3;-88874,2503
113,35;-88871,52888
113,4;-88868,80746
113,45;-88866,08604
113,5;-88863,40649
113,55;-88860,68507
113,6;-88857,96365
113,65;-88855,24223
113,7;-88852,52081
113,75;-88849,79939
113,8;-88847,11984
113,85;-88844,39842
113,9;-88841,677
113,95;-88838,95558
114;-88836,23416
114,05;-88833,51274
114,1;-88830,79132
114,15;-88828,0699
114,2;-88825,34848
114,25;-88822,66892
114,3;-88819,9475
114,35;-88817,22608
114,4;-88814,50466
114,45;-88811,78324
114,5;-88809,06182
114,55;-88806,3404
114,6;-88803,61898
114,65;-88800,89756
114,7;-88798,17614
114,75;-88795,45472
114,8;-88792,7333
114,85;-88790,01188
114,9;-88787,29046
114,95;-88784,56904
115;-88781,84762
115,05;-88779,1262
115,1;-88776,40478
115,15;-88773,68336
115,2;-88770,96194
115,25;-88768,24052
115,3;-88765,5191
115,35;-88762,79768
115,4;-88760,07626
115,45;-88757,31298
115,5;-88754,59156
115,55;-88751,87014
115,6;-88749,14872
115,65;-88746,4273
115,7;-88743,70588
115,75;-88740,98446
115,8;-88738,26304
115,85;-88735,54162
115,9;-88732,77833
115,95;-88730,05691
116;-88727,33549
116,05;-88724,61407
116,1;-88721,89265
116,15;-88719,17123
116,2;-88716,40794
116,25;-88713,68652
116,3;-88710,9651
116,35;-88708,24368
116,4;-88705,48039
116,45;-88702,75897
116,5;-88700,03755
116,55;-88697,31613
116,6;-88694,59471
116,65;-88691,83142
116,7;-88689,11
116,75;-88686,38858
116,8;-88683,6253
116,85;-88680,90388
116,9;-88678,18246
116,95;-88675,46104
117;-88672,69775
117,05;-88669,97633
117,1;-88667,25491
117,15;-88664,49162
117,2;-88661,7702
117,25;-88659,04878
117,3;-88656,28549
117,35;-88653,56407
117,4;-88650,80078
117,45;-88648,07936
117,5;-88645,35794
117,55;-88642,59466
117,6;-88639,87324
117,65;-88637,10995
117,7;-88634,38853
117,75;-88631,66711
117,8;-88628,90382
117,85;-88626,1824
117,9;-88623,41911
117,95;-88620,69769
118;-88617,9344
118,05;-88615,21298
118,1;-88612,4497
118,15;-88609,72828
118,2;-88606,96499
118,25;-88604,24357
118,3;-88601,48028
118,35;-88598,75886
118,4;-88595,99557
118,45;-88593,27415
118,5;-88590,51086
118,55;-88587,78944
118,6;-88585,02616
118,65;-88582,30474
118,7;-88579,54145
118,75;-88576,77816
118,8;-88574,05674
118,85;-88571,29345
118,9;-88568,57203
118,95;-88565,80874
119;-88563,04546
119,05;-88560,32404
119,1;-88557,56075
119,15;-88554,79746
