T (K);H (kJ/kmol)
112,75;-88938,01526
112,8;-88934,8333
112,85;-88931,60946
112,9;-88928,42749
112,95;-88925,20366
113;-88922,02169
113,05;-88918,79785
113,1;-88915,57402
113,15;-88912,39205
113,2;-88909,16821
113,25;-88905,94438
113,3;-88902,76241
113,35;-88899,53857
113,4;-88896,31474
113,45;-88893,0909
113,5;-88889,90893
113,55;-88886,6851
113,6;-88883,46126
113,65;-88880,23742
113,7;-88877,01359
113,75;-88873,78975
113,8;-88870,56592
113,85;-88867,34208
113,9;-88864,11824
113,95;-88860,89441
114;-88857,67057
114,05;-88854,44674
114,1;-88851,2229
114,15;-88847,99906
114,2;-88844,73336
114,25;-88841,50952
114,3;-88838,28569
114,35;-88835,06185
114,4;-88831,79615
114,45;-88828,57231
114,5;-88825,34848
114,55;-88822,08277
114,6;-88818,85894
114,65;-88815,59323
114,7;-88812,3694
114,75;-88809,10369
114,8;-88805,87986
114,85;-88802,61415
114,9;-88799,39032
114,95;-88796,12461
115;-88792,90078
115,05;-88789,63507
115,1;-88786,36937
115,15;-88783,14553
115,2;-88779,87983
115,25;-88776,61412
115,3;-88773,34842
115,35;-88770,08272
115,4;-88766,85888
115,45;-88763,59318
115,5;-88760,32747
115,55;-88757,06177
115,6;-88753,79606
115,65;-88750,53036
115,7;-88747,26466
115,75;-88743,99895
115,8;-88740,73325
115,85;-88737,46754
115,9;-88734,20184
115,95;-88730,89427
116;-88727,62856
116,05;-88724,36286
116,1;-88721,09716
116,15;-88717,78958
116,2;-88714,52388
116,25;-88711,25818
116,3;-88707,99247
116,35;-88704,6849
116,4;-88701,4192
116,45;-88698,11162
116,5;-88694,84592
116,55;-88691,53835
116,6;-88688,27264
116,65;-88684,96507
116,7;-88681,69937
116,75;-88678,3918
116,8;-88675,08422
116,85;-88671,81852
116,9;-88668,51095
116,95;-88665,20338
117;-88661,93767
117,05;-88658,6301
117,1;-88655,32253
117,15;-88652,01496
117,2;-88648,70738
117,25;-88645,39981
117,3;-88642,13411
117,35;-88638,82654
117,4;-88635,51896
117,45;-88632,21139
